timestamp,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,kinect_x,kinect_y,kinect_z
1772865465.291128890,pygame 2.6.1 (SDL 2.28.4, Python 3.13.7),406 380 689
1772865465.308808856,Hello from the pygame community. https://www.pygame.org/contribute.html,406 380 689
1772865509.601986538,0 0 1.1583070866141736,356 305 711
1772865509.657660249,0 0 1.1183070866141736,354 307 714
1772865509.886502214,0 0 1.1183070866141736,356 310 704
1772865510.100334608,0 0 1.0683070866141737,353 304 711
1772865510.287628014,0 0 1.0683070866141737,353 305 711
1772865510.407437559,0 0 1.0683070866141737,347 315 708
1772865510.438210177,0 0 1.0483070866141737,345 313 713
1772865510.721394626,0 0 1.0483070866141737,336 316 708
1772865510.745358451,0 0 1.0483070866141737,337 312 0
1772865510.965070333,0 0 1.0483070866141737,335 313 0
1772865511.347113416,0 0 1.0183070866141737,339 311 708
1772865511.738895109,0 0 1.0183070866141737,347 304 722
1772865512.083625507,0 0 0.9483070866141736,343 305 713
1772865512.440673847,0 0 0.9483070866141736,290 333 750
1772865513.024544103,0 0 0.9083070866141736,363 349 671
1772865513.026673633,0 0 0.9083070866141736,363 349 671
1772865513.093786886,0 0 0.9083070866141736,360 349 671
1772865513.182040019,0 0 0.9083070866141736,359 350 670
1772865513.198698601,0 0 0.9083070866141736,359 350 670
1772865513.220033226,0 0 0.9083070866141736,360 351 669
1772865513.256777066,0 0 0.9083070866141736,360 352 669
1772865513.281879994,0 0 0.9083070866141736,361 352 670
1772865513.346690884,0 0 0.9283070866141736,363 353 669
1772865513.399359315,0 0 0.9283070866141736,366 354 669
1772865513.524157711,0 0 0.9583070866141736,373 354 670
1772865513.575150753,0 0 0.9583070866141736,375 354 671
1772865513.656807221,0 0 0.9683070866141736,377 356 669
1772865513.887396246,0 0 0.9683070866141736,378 357 669
1772865513.894245809,0 0 0.9683070866141736,376 356 669
1772865513.897602128,0 0 0.9683070866141736,376 356 669
1772865513.911463798,0 0 1.0183070866141737,375 356 669
1772865514.079595535,0 0 1.0183070866141737,370 353 672
1772865514.082605769,0 0 1.0183070866141737,370 353 672
1772865514.305869436,0 0 1.0183070866141737,369 352 672
1772865514.351309830,0 0 1.0183070866141737,369 352 672
1772865514.636515044,0 0 1.0183070866141737,341 344 679
1772865514.676391735,0 0 0.9683070866141736,344 340 684
1772865514.946306672,0 0 0.9683070866141736,348 335 687
1772865515.337356816,0 0 0.9683070866141736,328 326 698
1772865515.440171137,0 0 0.9283070866141736,319 332 705
1772865515.533936933,0 0 0.9283070866141736,318 331 708
1772865515.749564954,0 0 0.8883070866141737,314 329 725
1772865516.075500701,0 0 0.8483070866141736,302 331 542
1772865516.351132361,0 0 0.8483070866141736,302 330 539
1772865516.447955579,0 0 0.8483070866141736,270 330 517
1772865516.895703047,0 0 0.7983070866141736,267 322 489
1772865516.980296681,0 0 0.7983070866141736,288 324 478
